track_id,class,direction,time_seconds
1,car,IN,8.2
2,motorcycle,IN,15.7
3,car,OUT,23.4
4,truck,IN,31.1
5,car,IN,38.8
6,bus,OUT,46.5
7,motorcycle,OUT,54.2
8,car,IN,62.9
9,truck,OUT,70.6
10,car,OUT,78.3
11,bus,IN,86.0
12,motorcycle,IN,93.7
13,car,OUT,101.4
14,truck,IN,109.1
15,car,IN,116.8
16,motorcycle,OUT,124.5
17,car,IN,132.2
18,bus,OUT,139.9
19,truck,OUT,147.6
20,car,OUT,155.3
21,motorcycle,IN,163.0
22,car,IN,170.7
23,truck,IN,178.4
24,car,OUT,186.1
25,bus,IN,193.8
26,motorcycle,OUT,201.5
27,car,IN,209.2
28,truck,OUT,216.9
29,car,OUT,224.6
30,motorcycle,IN,232.3
31,car,IN,240.0
32,bus,OUT,247.7
33,truck,IN,255.4
34,car,OUT,263.1
35,motorcycle,OUT,270.8
36,car,IN,278.5
37,truck,OUT,286.2
38,car,OUT,293.9
39,bus,IN,301.6
40,motorcycle,IN,309.3
41,car,OUT,317.0
42,truck,IN,324.7
43,car,IN,332.4
44,motorcycle,OUT,340.1
45,car,IN,347.8
